연번,행정동,주소,상세위치,위도,경도,데이터 기준일
1,용신동,서울특별시 동대문구 왕산로28길 39,건물앞,37.57655,127.0391,2025-04-04
2,용신동,서울특별시 동대문구 고산자로 479,건물앞,37.58281,127.0384,2025-04-04
3,용신동,서울특별시 동대문구 고산자로34길 12,건물앞,37.57749,127.0391,2025-04-04
4,용신동,서울특별시 동대문구 천호대로29가길 1,건물앞,37.57416,127.0403,2025-04-04
5,용신동,서울특별시 동대문구 천호대로35길 8,건물앞,37.57382,127.0413,2025-04-04
6,용신동,서울특별시 동대문구 천호대로29길 40,건물앞,37.57532,127.0408,2025-04-04
7,용신동,서울특별시 동대문구 천호대로45길 29,건물앞,37.57425,127.0428,2025-04-04
8,용신동,서울특별시 동대문구 천호대로45길 37,건물앞,37.57455,127.0431,2025-04-04
9,용신동,서울특별시 동대문구 천호대로45길 51,건물앞,37.57508,127.0435,2025-04-04
10,용신동,서울특별시 동대문구 천호대로45길 65,건물앞,37.57558,127.0439,2025-04-04
11,용신동,서울특별시 동대문구 천호대로45길 75,건물앞,37.57604,127.0442,2025-04-04
12,용신동,서울특별시 동대문구 천호대로45길 89,건물앞,37.5765,127.0446,2025-04-04
13,용신동,서울특별시 동대문구 천호대로45길 97,건물앞,37.5769,127.0446,2025-04-04
14,용신동,서울특별시 동대문구 천호대로21길 5,건물앞,37.57492,127.034,2025-04-04
15,용신동,서울특별시 동대문구 천호대로25길 17,건물앞,37.57491,127.034,2025-04-04
16,용신동,서울특별시 동대문구 천호대로25길 29,건물앞,37.5755,127.034,2025-04-04
17,용신동,서울특별시 동대문구 천호대로25길 37,건물앞,37.57601,127.034,2025-04-04
18,용신동,서울특별시 동대문구 천호대로25길 55,건물앞,37.57661,127.034,2025-04-04
19,용신동,서울특별시 동대문구 천호대로25길 70,건물앞,37.576,127.034,2025-04-04
20,용신동,서울특별시 동대문구 천호대로17길 32,건물앞,37.57548,127.0325,2025-04-04
21,용신동,서울특별시 동대문구 무학로30길 26,건물앞,37.57507,127.0322,2025-04-04
22,용신동,서울특별시 동대문구 무학로30길 8,건물앞,37.57505,127.0312,2025-04-04
23,용신동,서울특별시 동대문구 무학로30길 46,건물앞,37.57513,127.0334,2025-04-04
24,용신동,서울특별시 동대문구 왕산로26길 8,건물앞,37.57761,127.0363,2025-04-04
25,용신동,서울특별시 동대문구 천호대로27길 56,건물앞,37.57667,127.0376,2025-04-04
26,용신동,서울특별시 동대문구 천호대로27길 14,건물옆,37.57482,127.0375,2025-04-04
27,용신동,서울특별시 동대문구 한빛로 60,건물앞,37.57868,127.0293,2025-04-04
28,용신동,서울특별시 동대문구 한빛로 52,건물앞,37.57861,127.0283,2025-04-04
29,용신동,서울특별시 동대문구 한빛로 39,건물앞,37.57866,127.027,2025-04-04
30,용신동,서울특별시 동대문구 한빛로 33-1,건물앞,37.57838,127.0264,2025-04-04
31,용신동,서울특별시 동대문구 한빛로 16,건물앞,37.57709,127.0252,2025-04-04
32,용신동,서울특별시 동대문구 한빛로1길 6,건물앞,37.5767,127.0241,2025-04-04
33,용신동,서울특별시 동대문구 한빛로1길 13,건물앞,37.57686,127.0237,2025-04-04
34,용신동,서울특별시 동대문구 안암로6길 19,건물앞,37.57937,127.0259,2025-04-04
35,용신동,서울특별시 동대문구 무학로49길 92-1,건물옆,37.57937,127.0254,2025-04-04
36,용신동,서울특별시 동대문구 무학로49길 75,건물앞,37.57976,127.0263,2025-04-04
37,용신동,서울특별시 동대문구 무학로 60,건물앞,37.5751,127.0334,2025-04-04
38,용신동,서울특별시 동대문구 안암로14길 21,건물앞,37.58068,127.0287,2025-04-04
39,용신동,서울특별시 동대문구 안암로16길30,건물옆,37.58098,127.029,2025-04-04
40,용신동,서울특별시 동대문구 안암로 42,건물앞,37.58062,127.0269,2025-04-04
41,용신동,서울특별시 동대문구 안암로 58,건물앞,37.58156,127.0283,2025-04-04
42,용신동,서울특별시 동대문구 무학로 197 ,건물옆,37.58192,127.0294,2025-04-04
43,용신동,서울특별시 동대문구 무학로37길 9,건물앞,37.57795,127.0298,2025-04-04
44,용신동,서울특별시 동대문구 왕산로16길27,건물앞,37.57672,127.0313,2025-04-04
45,용신동,서울특별시 동대문구 왕산로9길 15,건물앞,37.57778,127.0277,2025-04-04
46,용신동,서울특별시 동대문구 무학로35길 8,건물옆,37.57703,127.0299,2025-04-04
47,용신동,서울특별시 동대문구 천호대로13길61,건물앞,37.57694,127.0297,2025-04-04
48,용신동,서울특별시 동대문구 무학로33길 34,건물앞,37.57634,127.0286,2025-04-04
49,용신동,서울특별시 동대문구 무학로33길 20,건물앞,37.57639,127.0294,2025-04-04
50,용신동,서울특별시 동대문구 무학로33길 7,건물옆,37.57625,127.03,2025-04-04
51,용신동,서울특별시 동대문구 천호대로9가길 18,건물앞,37.57488,127.0292,2025-04-04
52,용신동,서울특별시 동대문구 천호대로9길 18,건물앞,37.57481,127.0283,2025-04-04
