관리번호,도로명주소,데이터기준일자,
01-01-01,서울특별시 마포구 공덕동 손기정로 2,2025-04-22,
01-01-02,서울특별시 마포구 공덕동 마포대로 270,2025-04-22,
01-01-03,서울특별시 마포구 공덕동 환일길 13,2025-04-22,
01-01-05,서울특별시 마포구 공덕동 환일7길 18,2025-04-22,
01-01-06,서울특별시 마포구 공덕동 손기정로12길 4,2025-04-22,
01-01-07,서울특별시 마포구 공덕동 마포대로24길 31-8,2025-04-22,
01-01-09,서울특별시 마포구 공덕동 마포대로 236,2025-04-22,
01-01-10,서울특별시 마포구 공덕동 환일길 58-1,2025-04-22,
01-01-11,서울특별시 마포구 공덕동 환일길 66,2025-04-22,
01-01-13,서울특별시 마포구 공덕동 마포대로28라길 14,2025-04-22,
01-01-14,서울특별시 마포구 공덕동 마포대로18길 12,2025-04-22,
01-01-15,서울특별시 마포구 공덕동 만리재로20길 24,2025-04-22,
01-01-16,서울특별시 마포구 공덕동 만리재로20길 8,2025-04-22,
01-01-17,서울특별시 마포구 공덕동 효창원로95길 14,2025-04-22,
01-01-18,서울특별시 마포구 공덕동 만리재로10안길 26,2025-04-22,
01-01-19,서울특별시 마포구 공덕동 만리재로12길 25,2025-04-22,
01-01-20,서울특별시 마포구 공덕동 만리재로12길 36,2025-04-22,
01-01-21,서울특별시 마포구 공덕동 효창목5길 24,2025-04-22,
01-01-22,서울특별시 마포구 공덕동 임정로25길 8,2025-04-22,
01-01-23,서울특별시 마포구 공덕동 효창목길 31,2025-04-22,
01-01-24,서울특별시 마포구 공덕동 효창목5길 1,2025-04-22,
01-01-25,서울특별시 마포구 공덕동 효창목길 11,2025-04-22,
01-01-26,서울특별시 마포구 공덕동 마포대로14라길 3,2025-04-22,
01-01-27,서울특별시 마포구 공덕동 마포대로20길 6-11,2025-04-22,
01-01-28,서울특별시 마포구 공덕동 마포대로 214,2025-04-22,
01-01-29,서울특별시 마포구 공덕동 마포대로16나길 25,2025-04-22,
01-01-30,서울특별시 마포구 공덕동 만리재옛길 84,2025-04-22,
01-01-31,서울특별시 마포구 공덕동 만리재로10길 4,2025-04-22,
01-01-32,서울특별시 마포구 공덕동 만리재로10길 1-8,2025-04-22,
01-01-34,서울특별시 마포구 공덕동 만리재로16길 20-9,2025-04-22,
01-01-35,서울특별시 마포구 공덕동 만리재로14길 15,2025-04-22,
01-01-36,서울특별시 마포구 공덕동 만리재로14길 34,2025-04-22,
01-01-37,서울특별시 마포구 공덕동 만리재옛길 56,2025-04-22,
01-01-38,서울특별시 마포구 공덕동 백범로39길 22,2025-04-22,
01-01-12,서울특별시 마포구 아현동 신촌로34길 23,2025-04-22,
01-03-01,서울특별시 마포구 도화동 마포대로4길 18,2025-04-22,
01-03-02,서울특별시 마포구 도화동 마포대로4나길 64,2025-04-22,
01-03-03,서울특별시 마포구 도화동 마포대로4나길 54,2025-04-22,
01-03-04,서울특별시 마포구 도화동 마포대로4나길 23,2025-04-22,
01-03-05,서울특별시 마포구 도화동 마포대로4라길 13,2025-04-22,
01-03-06,서울특별시 마포구 도화동 마포대로4길 62,2025-04-22,
01-03-07,서울특별시 마포구 도화동 삼개로5길 29,2025-04-22,
01-03-08,서울특별시 마포구 도화동 도화2안길 29,2025-04-22,
01-03-09,서울특별시 마포구 도화동 도화2안길 11,2025-04-22,
01-03-10,서울특별시 마포구 도화동 도화2길 6,2025-04-22,
01-03-11,서울특별시 마포구 도화동 도화2길 49,2025-04-22,
01-03-12,서울특별시 마포구 도화동 도화4길 94,2025-04-22,
01-03-13,서울특별시 마포구 도화동 도화4길 39,2025-04-22,
01-03-14,서울특별시 마포구 도화동 새창로4길 12,2025-04-22,
01-03-15,서울특별시 마포구 도화동 새창로6나길 30,2025-04-22,
01-03-16,서울특별시 마포구 도화동 도화4길 13-1,2025-04-22,
01-04-01,서울특별시 마포구 용강동 대흥로4길 49,2025-04-22,
01-04-02,서울특별시 마포구 용강동 대흥로4길 54,2025-04-22,
01-04-03,서울특별시 마포구 용강동 대흥로2길 75,2025-04-22,
"관리번호 
없음",서울특별시 마포구 용강동 대흥로2길 9,2025-04-22,
