관리번호,도로명주소,데이터기준일자,위도,경도
2001-01-01,서울특별시 마포구 공덕동 손기정로 2,2025-04-22,37.55766351,126.9605205
2001-01-02,서울특별시 마포구 공덕동 마포대로 270,2025-04-22,37.55726993,126.9599003
2001-01-03,서울특별시 마포구 공덕동 환일길 13,2025-04-22,37.55703893,126.9602042
2001-01-05,서울특별시 마포구 공덕동 환일7길 18,2025-04-22,37.55549163,126.9620705
2001-01-06,서울특별시 마포구 공덕동 손기정로12길 4,2025-04-22,37.55596249,126.9623531
2001-01-07,서울특별시 마포구 공덕동 마포대로24길 31-8,2025-04-22,37.5530984,126.960976
2001-01-09,서울특별시 마포구 공덕동 마포대로 236,2025-04-22,37.55472664,126.9579462
2001-01-10,서울특별시 마포구 공덕동 환일길 58-1,2025-04-22,37.55308894,126.9612606
2001-01-11,서울특별시 마포구 공덕동 환일길 66,2025-04-22,37.55243908,126.9616113
2001-01-13,서울특별시 마포구 공덕동 마포대로28라길 14,2025-04-22,37.55499725,126.9596223
2001-01-14,서울특별시 마포구 공덕동 마포대로18길 12,2025-04-22,37.55143169,126.9567226
2001-01-15,서울특별시 마포구 공덕동 만리재로20길 24,2025-04-22,37.55053197,126.9631183
2001-01-16,서울특별시 마포구 공덕동 만리재로20길 8,2025-04-22,37.55104817,126.9626264
2001-01-17,서울특별시 마포구 공덕동 효창원로95길 14,2025-04-22,37.54890256,126.9626958
2001-01-18,서울특별시 마포구 공덕동 만리재로10안길 26,2025-04-22,37.54878254,126.9615582
2001-01-19,서울특별시 마포구 공덕동 만리재로12길 25,2025-04-22,37.54913215,126.9610833
2001-01-20,서울특별시 마포구 공덕동 만리재로12길 36,2025-04-22,37.54880054,126.9606623
2001-01-21,서울특별시 마포구 공덕동 효창목5길 24,2025-04-22,37.54802766,126.9614814
2001-01-22,서울특별시 마포구 공덕동 임정로25길 8,2025-04-22,37.5465428,126.9600859
2001-01-23,서울특별시 마포구 공덕동 효창목길 31,2025-04-22,37.54735167,126.9610116
2001-01-24,서울특별시 마포구 공덕동 효창목5길 1,2025-04-22,37.54807606,126.9601655
2001-01-25,서울특별시 마포구 공덕동 효창목길 11,2025-04-22,37.54759245,126.9592685
2001-01-26,서울특별시 마포구 공덕동 마포대로14라길 3,2025-04-22,37.54779823,126.9571944
2001-01-27,서울특별시 마포구 공덕동 마포대로20길 6-11,2025-04-22,37.53841926,126.9449695
2001-01-28,서울특별시 마포구 공덕동 마포대로 214,2025-04-22,37.55285895,126.9571871
2001-01-29,서울특별시 마포구 공덕동 마포대로16나길 25,2025-04-22,37.5514254,126.9580969
2001-01-30,서울특별시 마포구 공덕동 만리재옛길 84,2025-04-22,37.55017417,126.9600328
2001-01-31,서울특별시 마포구 공덕동 만리재로10길 4,2025-04-22,37.54917023,126.9601781
01-01-32,서울특별시 마포구 공덕동 만리재로10길 1-8,2025-04-22,37.54938854,126.9606959
01-01-34,서울특별시 마포구 공덕동 만리재로16길 20-9,2025-04-22,37.54994069,126.9624285
01-01-35,서울특별시 마포구 공덕동 만리재로14길 15,2025-04-22,37.55044701,126.9614595
01-01-36,서울특별시 마포구 공덕동 만리재로14길 34,2025-04-22,37.54961768,126.961846
01-01-37,서울특별시 마포구 공덕동 만리재옛길 56,2025-04-22,37.5485953,126.9575615
01-01-38,서울특별시 마포구 공덕동 백범로39길 22,2025-04-22,37.54208798,126.956741
2001-01-12,서울특별시 마포구 아현동 신촌로34길 23,2025-04-22,37.55617026,126.9546723
2001-03-01,서울특별시 마포구 도화동 마포대로4길 18,2025-04-22,37.53870719,126.9466713
2001-03-02,서울특별시 마포구 도화동 마포대로4나길 64,2025-04-22,37.53652038,126.9447357
